team,true_value,report,truthful,selected,payment_score_units,utility_score_units
Team A,9,0.0,False,False,0.0,0.0
Team A,9,0.5,False,False,0.0,0.0
Team A,9,1.0,False,False,0.0,0.0
Team A,9,1.5,False,False,0.0,0.0
Team A,9,2.0,False,False,0.0,0.0
Team A,9,2.5,False,False,0.0,0.0
Team A,9,3.0,False,False,0.0,0.0
Team A,9,3.5,False,False,0.0,0.0
Team A,9,4.0,False,False,0.0,0.0
Team A,9,4.5,False,False,0.0,0.0
Team A,9,5.0,False,False,0.0,0.0
Team A,9,5.5,False,True,2.4,3.6
Team A,9,6.0,False,True,2.4,3.6
Team A,9,6.5,False,True,2.4,3.6
Team A,9,7.0,False,True,2.4,3.6
Team A,9,7.5,False,True,2.4,3.6
Team A,9,8.0,False,True,2.4,3.6
Team A,9,8.5,False,True,2.4,3.6
Team A,9,9.0,True,True,2.4,3.6
Team A,9,9.5,False,True,2.4,3.6
Team A,9,10.0,False,True,2.4,3.6
Team B,6,0.0,False,False,0.0,0.0
Team B,6,0.5,False,False,0.0,0.0
Team B,6,1.0,False,False,0.0,0.0
Team B,6,1.5,False,False,0.0,0.0
Team B,6,2.0,False,False,0.0,0.0
Team B,6,2.5,False,False,0.0,0.0
Team B,6,3.0,False,False,0.0,0.0
Team B,6,3.5,False,False,0.0,0.0
Team B,6,4.0,False,False,0.0,0.0
Team B,6,4.5,False,False,0.0,0.0
Team B,6,5.0,False,True,2.4,1.2
Team B,6,5.5,False,True,2.4,1.2
Team B,6,6.0,True,True,2.4,1.2
Team B,6,6.5,False,True,2.4,1.2
Team B,6,7.0,False,True,2.4,1.2
Team B,6,7.5,False,True,2.4,1.2
Team B,6,8.0,False,True,2.4,1.2
Team B,6,8.5,False,True,2.4,1.2
Team B,6,9.0,False,True,2.4,1.2
Team B,6,9.5,False,True,2.4,1.2
Team B,6,10.0,False,True,2.4,1.2
Team C,3,0.0,False,False,0.0,0.0
Team C,3,0.5,False,False,0.0,0.0
Team C,3,1.0,False,False,0.0,0.0
Team C,3,1.5,False,False,0.0,0.0
