mechanism,selected_teams,teams_served,gpu_hours_used,unused_gpu_hours,total_true_project_value,carbon_adjusted_true_score,total_estimated_emissions_kg_co2e,total_priority_payment_score_units,total_priority_payment_credits,carbon_penalty_per_kg_co2e,arrival_order
Random-order FCFS,Team A; Team B; Team C; Team D; Team F,5,100,0.0,30,18.0,24.0,0,0.0,0.5,Team A -> Team B -> Team C -> Team D -> Team E -> Team F
Random-order FCFS,Team A; Team B; Team C; Team D; Team F,5,100,0.0,30,18.0,24.0,0,0.0,0.5,Team A -> Team B -> Team C -> Team D -> Team F -> Team E
Random-order FCFS,Team A; Team B; Team C; Team E; Team F,5,95,5.0,27,15.6,22.8,0,0.0,0.5,Team A -> Team B -> Team C -> Team E -> Team D -> Team F
Random-order FCFS,Team A; Team B; Team C; Team E; Team F,5,95,5.0,27,15.6,22.8,0,0.0,0.5,Team A -> Team B -> Team C -> Team E -> Team F -> Team D
Random-order FCFS,Team A; Team B; Team C; Team F; Team D,5,100,0.0,30,18.0,24.0,0,0.0,0.5,Team A -> Team B -> Team C -> Team F -> Team D -> Team E
Random-order FCFS,Team A; Team B; Team C; Team F; Team E,5,95,5.0,27,15.6,22.8,0,0.0,0.5,Team A -> Team B -> Team C -> Team F -> Team E -> Team D
Random-order FCFS,Team A; Team B; Team D; Team C; Team F,5,100,0.0,30,18.0,24.0,0,0.0,0.5,Team A -> Team B -> Team D -> Team C -> Team E -> Team F
Random-order FCFS,Team A; Team B; Team D; Team C; Team F,5,100,0.0,30,18.0,24.0,0,0.0,0.5,Team A -> Team B -> Team D -> Team C -> Team F -> Team E
Random-order FCFS,Team A; Team B; Team D; Team E,4,90,10.0,30,19.2,21.6,0,0.0,0.5,Team A -> Team B -> Team D -> Team E -> Team C -> Team F
Random-order FCFS,Team A; Team B; Team D; Team E,4,90,10.0,30,19.2,21.6,0,0.0,0.5,Team A -> Team B -> Team D -> Team E -> Team F -> Team C
Random-order FCFS,Team A; Team B; Team D; Team F; Team C,5,100,0.0,30,18.0,24.0,0,0.0,0.5,Team A -> Team B -> Team D -> Team F -> Team C -> Team E
Random-order FCFS,Team A; Team B; Team D; Team F; Team C,5,100,0.0,30,18.0,24.0,0,0.0,0.5,Team A -> Team B -> Team D -> Team F -> Team E -> Team C
Random-order FCFS,Team A; Team B; Team E; Team C; Team F,5,95,5.0,27,15.6,22.8,0,0.0,0.5,Team A -> Team B -> Team E -> Team C -> Team D -> Team F
Random-order FCFS,Team A; Team B; Team E; Team C; Team F,5,95,5.0,27,15.6,22.8,0,0.0,0.5,Team A -> Team B -> Team E -> Team C -> Team F -> Team D
Random-order FCFS,Team A; Team B; Team E; Team D,4,90,10.0,30,19.2,21.6,0,0.0,0.5,Team A -> Team B -> Team E -> Team D -> Team C -> Team F
Random-order FCFS,Team A; Team B; Team E; Team D,4,90,10.0,30,19.2,21.6,0,0.0,0.5,Team A -> Team B -> Team E -> Team D -> Team F -> Team C
Random-order FCFS,Team A; Team B; Team E; Team F; Team C,5,95,5.0,27,15.6,22.8,0,0.0,0.5,Team A -> Team B -> Team E -> Team F -> Team C -> Team D
Random-order FCFS,Team A; Team B; Team E; Team F; Team C,5,95,5.0,27,15.6,22.8,0,0.0,0.5,Team A -> Team B -> Team E -> Team F -> Team D -> Team C
Random-order FCFS,Team A; Team B; Team F; Team C; Team D,5,100,0.0,30,18.0,24.0,0,0.0,0.5,Team A -> Team B -> Team F -> Team C -> Team D -> Team E
Random-order FCFS,Team A; Team B; Team F; Team C; Team E,5,95,5.0,27,15.6,22.8,0,0.0,0.5,Team A -> Team B -> Team F -> Team C -> Team E -> Team D
Random-order FCFS,Team A; Team B; Team F; Team D; Team C,5,100,0.0,30,18.0,24.0,0,0.0,0.5,Team A -> Team B -> Team F -> Team D -> Team C -> Team E
